Epoch,Type,Group,Value
1,Acc,1,0.377934277057648
2,Acc,1,0.46772301197052
3,Acc,1,0.486502349376678
4,Acc,1,0.523474156856537
5,Acc,1,0.525821566581726
6,Acc,1,0.507042229175568
7,Acc,1,0.524647891521454
8,Acc,1,0.53227698802948
9,Acc,1,0.53227698802948
10,Acc,1,0.546948373317719
11,Acc,1,0.565727710723877
12,Acc,1,0.565727710723877
13,Acc,1,0.542253494262695
14,Acc,1,0.546948373317719
15,Acc,1,0.545187771320343
1,Loss,1,1.69072663784027
2,Loss,1,1.62255942821503
3,Loss,1,1.36409366130829
4,Loss,1,1.17298853397369
5,Loss,1,1.10536468029022
6,Loss,1,1.09278118610382
7,Loss,1,1.04959988594055
8,Loss,1,1.01462399959564
9,Loss,1,0.982699930667877
10,Loss,1,0.959114491939545
11,Loss,1,0.946496427059174
12,Loss,1,0.942892074584961
13,Loss,1,0.946268737316132
14,Loss,1,0.941437005996704
15,Loss,1,0.941627025604248
1,Acc,2,0.43746429681778
2,Acc,2,0.521987438201904
3,Acc,2,0.49743002653122
4,Acc,2,0.509994268417358
5,Acc,2,0.535693883895874
6,Acc,2,0.541976034641266
7,Acc,2,0.549400329589844
8,Acc,2,0.549400329589844
9,Acc,2,0.567675590515137
10,Acc,2,0.582524299621582
11,Acc,2,0.576813280582428
12,Acc,2,0.587093114852905
13,Acc,2,0.589377522468567
14,Acc,2,0.59394633769989
15,Acc,2,0.591661930084229
1,Loss,2,1.58031177520752
2,Loss,2,1.2947279214859
3,Loss,2,1.18862617015839
4,Loss,2,1.11859166622162
5,Loss,2,1.04378736019135
6,Loss,2,1.01087939739227
7,Loss,2,0.985163331031799
8,Loss,2,0.969658195972443
9,Loss,2,0.943989753723144
10,Loss,2,0.925731956958771
11,Loss,2,0.929229021072388
12,Loss,2,0.921657621860504
13,Loss,2,0.911650657653809
14,Loss,2,0.901216566562653
15,Loss,2,0.90234512090683
1,Acc,3,0.607753694057465
2,Acc,3,0.575256586074829
3,Acc,3,0.537628293037415
4,Acc,3,0.531356871128082
5,Acc,3,0.553591787815094
6,Acc,3,0.562143683433533
7,Acc,3,0.456670463085175
8,Acc,3,0.508551895618439
9,Acc,3,0.529076397418976
10,Acc,3,0.526795923709869
11,Acc,3,0.527936160564423
12,Acc,3,0.506841480731964
13,Acc,3,0.500570118427277
14,Acc,3,0.511402487754822
15,Acc,3,0.509692132472992
1,Loss,3,1.46689307689667
2,Loss,3,1.25309503078461
3,Loss,3,1.14586901664734
4,Loss,3,1.07859706878662
5,Loss,3,1.01302886009216
6,Loss,3,0.980078518390656
7,Loss,3,1.07760071754456
8,Loss,3,1.02579438686371
9,Loss,3,1.01524245738983
10,Loss,3,1.00815737247467
11,Loss,3,1.00345051288605
12,Loss,3,1.03646767139435
13,Loss,3,1.05222272872925
14,Loss,3,1.0377277135849
15,Loss,3,1.04283475875855
1,Acc,4,0.435648888349533
2,Acc,4,0.410339266061783
3,Acc,4,0.481421649456024
4,Acc,4,0.495422720909119
5,Acc,4,0.491653203964233
6,Acc,4,0.535271942615509
7,Acc,4,0.562735617160797
8,Acc,4,0.576198160648346
9,Acc,4,0.59019923210144
10,Acc,4,0.594507277011871
11,Acc,4,0.588045239448547
12,Acc,4,0.572428643703461
13,Acc,4,0.562735617160797
14,Acc,4,0.55735057592392
15,Acc,4,0.549811542034149
1,Loss,4,1.58894014358521
2,Loss,4,1.43181681632996
